Hired,Outstanding,Considerable,Mid,Denied,,,,,,,,,,,,,,,,,,,
2024/08/17 2:55:30 pm GMT+8,sgdy,sgdy,UTC-5:00,United States,13-15,Male,he/they,1 day 6 hours 31 minutes at the time of applying.,"Get evidence of the staff member abusing, then send proof to a manager so they can deal with it.","I would inform them that the server rules say they have to keep their messages appropriate. If they fail to comply with the rules, I would punish them respectfully to their offense.","I would use the coreprotect plugin to check get proof that they had griefed the build, then I would either warn if it was a minor grief, or ban them for 7 days if it was a major grief.","I have 3 years of prior experience moderating Minecraft servers, and just under 4 years of experience moderating Discord servers. 
For Minecraft servers, I was the Lead Admin on DupeTop (which has sadly been shut down since), Admin/Temporary Manager on L1festee1 (now known as minecrush), and Admin on DupeBlocks (now known as dupecrush).
For Discord servers, I was the same ranks listed for the Minecraft servers (2100, 5500, and 3500 at the time respectively) I was the head of staff on a smaller discord server (about 250 people), and an Admin for another small discord server (about 200 people)","I believe I should be chosen over other applicants because I have lots of prior experience moderating both Minecraft and Discord servers, and I can quickly adapt to changes and situations.","In three months time I would like to see myself at least at a Moderator level, as I believe three months of training and getting used to using the plugins",Monday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,"My hours may change around summer or if I get a job, but I should still be able to be online about 10+ hours/week.",Yes,,,,,
2024/09/30 2:55:45 am GMT+8,MoonStar25,moonstar25_24778,PDT,United States,13-15,Male,he/him,"10 Days, 20 Hours, and 39 Minutes","I tell them to stop politely. If they do not stop, I ask them again. If they continue still, I tell another higher ranking staff about said interaction or I give them a temporary ban.","I tell them that on this server, swearing is not allowed, and I warn them that if they continue to swear, they will be muted.","I tell them that I saw them grief, and I ask in chat who else saw the person grief. If they admit to it then, they will get a warn or a shorter ban, but if they persist and continue to grief, they will get a longer ban.","Yes, I have. I was an admin on a server that closed down, called FreeOPSandbox.","I have been on the server much longer than most and have witnessed many bans, warns, and griefing. If no staff were online, sometimes I would even step in and put them in containment.","In three months' time, i see myself as a Sr. Mod or Admin.",Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,None.,Yes,,,,,
2024/10/18 6:22:14 am GMT+8,SGGopen,sggopen,UTC-5,United States Of America Southeastern Regiom,13-15,Male,he/him,"More than 1 Day, currently fixing my computer in the shop 2 days.","Immediately tell the owner about the situation even if it requires a ping. Then, control the situation to the best of my abilities.","Tell them to stop verbally one more time, then mute for 1 hour.","I would do /co inspect to check the area of griefing, if it is them, then I would ban for 7 days, if it is someone else, I would ban the person who griefed for 7 days, I will screenshot the co inspect and report it to the authorities.","Yes, I was a trainee mod on the previously known as mineclub server. +300 players. Custom domain","I’ve been apart of the community for around 5-6 months and I would like to not only possibly grow the 50XCreative community, I would like to moderate the server as it does have understaffing problems, especially at later at night which can lead to mass grief with no punishment, and I would like to support the community. I also a charismatic, mature, and intelligent. Some of my weaknesses is being very stubborn and self reliant.",I would see me as a Sr. mod or a Mod,Tuesday;Wednesday;Thursday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,"My computer is being fixed at this time, so I NEED some sort of grace period as I figure out a solution for the mean time.",Maybe,,,,,
,Silencee__,silencee__op,GMT+1,"Ireland, Europe.",13 - 14,Male,he/him,"My current playtime is 2 hours, please don't instantly deny my application because I didn't have the minimum required playtime.. It's because I recently found the server and started to pllay it.",As a lower-ranked staff member to be very honest I cannot do much except just clip them abuse and send it to staff manager to handle the situation further.,"I’d tell them that just because they can swear doesn’t mean they should — especially on a server where the rules says to not swear. Freedom of speech doesn’t mean they can swear at others.. If they kept on swearing after I tell them this, I would take some action and mute them.","I'm pretty sure there is a plugin on 50xCreative where it tells you which players break what block etc.. If this wasn't a thing, I'll just try to find some evidence against them and prove it that they were griefing others builds.","Yes, I have tons of previous staffing experience.. Rather than listing all the servers, I prefer to just send my portfolio link..
Portfolio — https://tinyurl.com/2kjx7vf4","I believe you should accept me over other applicants because I’m a positive and responsible person.I've checked the server, it's extremely nice I appreciated the staff team for the environment they created—it’s all very organized. I stay calm and keep my cool when problems come up, and I’m good at communicating with others.. My goal would be to always enforce the server rules on everyone fairly. I’m always working to improve myself, and I handle most situations calmly.",I believe around Sr. mod or even Admin maybe if I get accepted lol.,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,"Not really notes nor suggestions.. Whoever is reviewing this, have a good day

Kind regards,
Sincerely - Silencee__",Yes,,,,,
2024/10/19 5:36:46 am GMT+8,sSilentMC,cssilent,CST,United States,16-17,Male,he/him,1 day and 18 hours,"First,
I will take a screenshot, and a video with needed.
Then,
I will send it to a higher staff member such as Manager, Admin and Owner (and Co-Owner)
Last,
Eat chips","""It isn't a good example for the younger audience. 1st verbal warning""",/co i,"Yes, Pixelblock with around 1-2 million players",I have been in the 50x community for long enough and I've helped with cases like the Dom one and that one ticket about Rowan. I also think I'm pretty experienced with MC plugins and commands.,Moderator or Sr. Mod if I do good enough,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,5 - 6 hours,,Yes,,,,,
2024/10/19 5:39:01 am GMT+8,_Aple__,electric_59,UTC-4,United States,13-15,Male,he/him,9 Days and 8.04 Hours,"I would first gather evidence/proof of the admin abusing, then i would tell the owner Egono or Siqns.","I would first do a verbal warning. If they continue to ignore my warning, i would give them a warning and/or a mute.","I would ask the blamed person if this is true, he/she would say no. Then i would use /co i to confirm the griefer and then ban them for first/second/or third offense of griefing.",,"Because i mainly get on to help other and make sure when they want to join this server, they want to have fun. I don't want their fun to be ruined by griefers, so i want everyone to have a great time on 50x. I also want to be active with others like fun events and more.",I would see myself lowest as a mod and highest would be a sr.mod or admin,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,"On the week days i might play less than the 3-4 hours because i play soccer, and i have homework to do. I will try my best to active on weekdays as much as i can.",Yes,,,,,
2024/10/29 7:23:07 am GMT+8,Male__07,blackmc358486596,UTC+3,Brazil,13 - 14,Male,he/him,1 week and 1 day,Take some screenshots of the staff abusing and show them to egg.(pls do not decline my apply just because of this joke),Warn him,"/co i, if he was really a liar, BAN",nuh uh,Because i want become admin so i can finally use command blocks and i will ban the rule breakers and mute them. I will also,Sr.Mod,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,,Yes,,,,,
2024/10/17 2:50:54 pm GMT+8,Rowanthestar,Rowanthestar#0000,BST,England,13-15,Male,he/him,1 DAYS 1 HOURS 1 MINUTES,Tell manager or owner,Verbally warn them and say swearing is not allowed and tell them they can be warned if they do it again,Use core protect to check,"Site39, moneyfight",I have been playing 50xcreative for so long and I am active and I know the rules like the back of my hand,Sr mod,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,5 - 6 hours,,No,,,,,
2024/10/26 4:15:27 pm GMT+8,Tamampt,Tamampt#0000,UTC+3,Nederlands ,13 - 14,Male,he/him,1d,Go to the co owner and report that,Mute + clear chat,Ban griefer use core protect inspect and core protect rollback,Yes,I’m mostly online when griefers are online Thats pretty good because i can ban them right away i always check reports,Dev or trainee mod,Monday;Tuesday;Saturday;Sunday,3 - 4 hours,Yes I’m sorry i made like 3 apps but just remove those apps since someone forced me to change my name i had to apply it here wish i could just modify that old app,Idk hopefully yes if not i don’t really care just apply next month,,,,,
2024/08/26 8:44:07 pm GMT+8,_NovaCO,.l567890,GMT+2,kosovo,13-15,Male,he/him,idrk,report them to mr siqn,mute them,ban him cause i obviously saw him,uhm i was a mod in a farming server,cause im a good builder even mr siqns himself says i have a good build and im good at moderating yeah,a moderator maybe,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,idk,Yes,,,,,
2024/10/27 10:03:03 pm GMT+8,__legendary_,legendarymanvir#3730,UTC+1,UK,13 - 14,Male,he/him,2 Days 10 Hours 28 Minutes,report him to egono,mute them,ban the griefer as i have seen him do it,,because I am hard working and will do my role correctly furthermore i will make sure the server is a better experience for all players,sr. mod,Thursday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,,Yes,,,,,
2024/10/19 1:03:19 am GMT+8,Technob_lade,Tamampt#0000,UTC+1 i think,Nederlands ,13-15,Male,he/him,5 days?,Report it to the higher admins,Mute,Just check coreprotect,I have worked on a server called context,I’m smart with coreprotect and bungeecord and skript and yes i learned skript in 7 days so don’t expect i being good with skript and I’m good with fixing bugs,Mod,Monday;Tuesday;Friday,1 - 2 hours,50xcreative is fun,Yes,,,,,
2024/10/19 1:05:27 am GMT+8,Reco6141,0_reco_0,PDT,California,13-15,Male,he/him,2-3 hours,Tell them to stop and tell the owner,I would mute them and if they don't stop I'll put them in time out,Look at world core and messages then I would put them in time out if griefing persists I will ban them,,Becuase i promise to be respectful kind trustworthy and responsible and i won't abuse my powers that i have over the other players,Admin (i hope),Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,3 - 4 hours,,I hope i get accepted because this will be my first time as staff,,,,,
2024/11/01 1:42:08 pm GMT+8,mvoz,high.boi.,GMT+2,cyrpus,13 - 14,Male,he/him,1 day and 3 hours,tell a high staff member or help them cuz funny,id warn them if they didnt stop id mute them for a day or a week,ban the griefer,nope,because i find the server better than hypickle so i hope to be an admin since this server got me back into minecraft.,jr mod,Monday;Tuesday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,strengthen chat filter,i feel confident but nervous at the same time so i guess i have a shot?,,,,,
2024/09/08 8:48:20 pm GMT+8,vlador585,vladis123#4097,UTC+10,germany,13-15,Male,he/him,1 day 2hours 1 minutes,"i will tell the owner, and if im tolled to do somthing about it ui will ban him immediatly",i will mute them and if they will do it angin i will ban them,i will ban the playre,i was a staff in a lifesteal server so i think so,i really want to be a staff in such a good server! and beacouse i care a lot about the server+ today a hacker raided the server and i wanted to ban him soooo bad but i couldnt because i wasnt a staff member and you should choose me because i am the goat :)),at least sr. mod,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,5 - 6 hours,i really like to have staff rank ;)) plus im really kind and take my time with players wenn they need help,Yes,,,,,
2024/08/28 5:56:45 pm GMT+8,AlDezel,.dezell.,EST,north america,18-20,Male,he/him,3 hours,i record what they are doing and show it to the owner.,i would let them know we do not allow cussing in this server and if they keep doing it i will mute them for chat bypass.,"i would ban them because they didnt admit it after i saw it , if they were to admitted to breaking it and would just say sorry i would only warn them.","yes , pvpinium - Mod , blockrushmc - helper , taspvp - mod , dupeblocks - mod , narcgens - owner , genspvp - helper.",i think i am a good staff member who could help the community more and have more staff experience then others.,Mod,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,1 - 2 hours,,Yes,,,,,
Ender1104,Ender1104#0000,GMT-5,The United States of America / Texas / North America,13-15,Male,he/him,1 Day 4 Hours 55 Minutes and 56.95 Seconds,Creative,Siqns and Egono,Able to moderate the server and maintain the server's quality in pristine condition.,I would take screenshots of what the higher ranking staff member is doing and contact a Sr. Admin+ so they can take care of the situation appropriately if I didn't have any proof the problem wouldn't be solved because no action can be taken without proof.,"Always use polite words like ""please"" or ""thank you"".",Since privately owned businesses are allowed to restrict the freedom of speech while in their business (The 50x Minecraft Server). This means that they do not have the freedom of speech to swear and they should receive a warning first and then a mute the length depending on the severity of the word they used.,"Warn the player to not advertise again and clears the chat. If repeated, a mute will persist.",If you do not see a griefer commit the offense or someone else has a screenshot of them doing it you should use /coreprotect inspect on the broken blocks to see who is responsible. You then should take screenshots of those logs and save them to your files so if they ever make a ticket you will still have the proof. You should then warn them if it was a very minor offense aka 1 or 2 blocks broken but if it was a major offense you should ban their account for 7 days. If they try to ban evade this current ban you should extend the punishment to a ip ban forever. ,Before applying to become a staff member on the best creative server 50x I was a developer for 3 years(since I was 11) on a Avatar The Last Airbender server working on special ability/items and boss fights. That ended whenever the server lost funding and shut down. Before it shut down it had around 30 players at a time and was not on minehut. After that I transitioned to a creative server on minehut called SSCreativeSS I was sadly only a mod on there for its last week of life before it also ran out of funding. Then I tried to start up my own creative server and I got it published and on minehut with a full staff team but guess what. It ran out of funding. So now I am currently looking for a new job to do in my spare time(don't worry there is a lot).,You should choose me over other applicants because even though I may be younger and immature at some points I have much more experience and know how to do more advanced things. I also put lots of time and effort into this application and I hope you have a nice day :),In three months time I either want to be moderating the server around Christmas time and making sure everyone who just got Minecraft is very happy or If I do very very good I want to work on small development projects and bug fixes.,"Yep I have streamlabs, obs, screencast, and a couple others I also have a 2tb hard drive just for storing media.",Tuesday;Thursday;Friday;Saturday;Sunday,1 - 2 hours,This took me an hour and a half and I am entirely out of Adderall this has taken away all of my sanity an I defiantly am overthinking each question. On the question about bypassing the sweat filter I used google. I asked the other staff member and they said yes but it was to another question and I didn't realize that until after I googled it I'm sorry. All i googled was if privately owned businesses have the right to take away your freedom of speech.,Very confident because this took me 1 and a half hours and if I don't get accepted I'm actually about to crash out.
2024/09/13 7:39:47 am GMT+8,FuzzyFireX,fuzzyfirex / fuzzyfirex#1041,EDT,United States / New Jersey,13-15,Male,he/him,Maybe 16 hours - 2 days i do not exactly know,"First I would ask them what they are doing if they say something bad, I would contact higher authority or",Ask them to check the Official Rules and tell them that they are needed to follow them or unfortunately we would have to ban them.,I have replay mod or if the server has replay mod I would check it if we didn't I would ask other players if they witnessed him greifing,No,I will respect and be kind to everyone on the server and I will not favor other players and I will be as kind as possible to players and staff,I would see my self in this server in at least 6 months time,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,,Yes,,,,,
2024/09/12 6:16:14 am GMT+8,notacrayon,teriyaki3rd,UTC+1,Norway,13-15,Male,he/him,i have been off and on the server for 1 year.,"I would threaten to report to higher-ranked individuals, and if they dont stop i will get other staff members involved.",As long as you are online on the server the rules says otherwise.,"i would most likely grab a witness, but if that is not possible i will temp-ban (if i can) for griefing.",in 2022 i used to co own a minecraft anarchy server but the server is gone but i still have the owner friended on discord.,"Because i would love to be a bigger part of the server and help keep it safe and clean from griefers, advertisers, trolls and such.",three months is a very short period but i could see my self have more contact in the community.,Monday;Wednesday;Friday;Saturday;Sunday,1 - 2 hours,i miss when people dug into the ground and made tunnels and called it malls,Yes,,,, ,
2024/08/21 3:36:00 am GMT+8,MASYOURT,masyourt,GMT 3:00,"Turkey,Istanbul",13-15,Male,he/him,3 hours 40 minutes :/,I would report the admin into the the owner or the managers.,I will be going to mute him but if the swear is Racial I will give more mute time for that amount but if the swear is like normal or less i will mute them on average mute time,I will be calm and be supportive togards the victim and i will get evindence then i will ban him / if i dont have a perm for banning then i will the admins,"I was in some servers.Co-owner,Helper x4,Mod,Admin x2 Times","I will moderate everything from looking to the people enderchest,what they are building,was they are previosly banned/muted.",Admin maybe,Monday;Tuesday;Saturday;Sunday,3 - 4 hours,,Yes,,,,,
2024/08/27 2:39:03 am GMT+8,MotionsSon,frutiger.areo,EST,United States,13-15,Male,he/him,4 hours (i probably wont get hired),Report them to the discord,I would warn them and if they continued I would ban them for 1 day.,Ban them for a week.,Ive moderated many discord servers and 1 gmod server before.,"I have lots of previous experience being a moderator In other games, and in discord servers, I will try my best to moderate the server and keep it clean. I am also on very frequently, every day for 1-3 hours.",Moderator,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,,Yes,,,,,
2024/09/08 8:09:19 am GMT+8,Gameboy5969,Gameboy#6545,UTC,United States,13-15,Male,he/him,1 day,De op them then ban them,give them a warning then if they do it again 1 day ban,ban them,,Because i will be a good staff and follow the rules and ban players who brake the rules and i will be good.,admin or mod,Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,,Yes,,,,,
2024/10/18 5:13:54 pm GMT+8,EndMaestro,anpyromaestro,UTC+7,Asia,13-15,Male,he/him,10 DAYS 6 HOURS,Ask other staff members about it.,Tell them to read the rules and if they continue then temporary mute them.,Tell them that /co i exist and warn them.,,"I'm always respectful and kind to players/willing to help them and just really active in general, also I'm skillful in building, redstone, coding.",Jr. Mods,Monday;Tuesday;Wednesday;Thursday;Friday,3 - 4 hours,,Maybe,,,,,
2024/08/15 2:31:28 am GMT+8,Felix_karaffa,.felix_k,CEST,Denmark,13-15,Prefer not to say,he/him,got reset in season but in all its 15 days,ill report to a dev or higer with screen shot,Warn for bypass of chat,Warn if small grief if big 7 day ban,,I want to help the server with problems and keep away griefers from the server and protect it from that stuff,Mod,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,1 - 2 hours,,Maybe,,,,,
2024/10/17 8:34:32 pm GMT+8,andezp,andezp2009,UTC+7.,Indonesia / Asia.,16-17,Male,he/him,"4 days, 21.89 hours.","I would inform owner, or manager to punish them.",I would give them a warn and a 10 minute mute to make them consider their doings.,warn if small grief if big 7 day ban,Yes. I used to be an admin in my friend's minigame server.,You don't have to choose me over other applicants. I am okay with not getting picked to become apart of the staff team.,A moderator who is nice to other players.,Tuesday;Thursday;Friday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,,Maybe,,,,,
2024/10/30 3:40:55 am GMT+8,AnGelic_Nico,daxoalfa,GMT+2,europe,13 - 14,Male,he/him/it,old act on stats say 52 min on minehut say 6 days (FemboyAdmin) new under 1 day(AnGelic_Nico),say that to same/higher staff about it,mute them if they spam and they are bypassing the filter witch would be abusing exploits or / warn,i would temp ban them revert there greffing with the command (i know it exist) and then stop obs and save it as a clip in a harddrive and then if he try to apeal the ban i would show the clip,no not much only servers i have been staff are no longer alive,because i can be an active member in the comunity and a good hearted staff member and i would love to join the staff team,sr. mod(a staff memeber(bad joke ignore)),Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,yes,Yes,,,,,
2024/09/02 12:10:44 am GMT+8,Baasher,Fire_fly_blob / Fire_fly_blob##9193,UTC+11,France,13-15,Male,he/him,1 day 0.23 hours,Instanstly take proof of the abuse of authority and report with the proof to a staff who can demote the authority abuser,mute them for an hour and if they don't stop increasingly mute them longer,"If i'am able to temp-ban, i would temp-ban them for 7 days as i was a witness to it","Yes, i do but on a small now almost inactive server",I'am a lot active on 50x and the only time i cannot be that much active is because of parental punishment or school.,A player who build stuff for people to build together and make an community build.,Wednesday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,,Maybe,,,,,
2024/09/05 9:30:47 am GMT+8,connor55315434,connor13240585,GMT-5,North America,13-15,Male,he/him,3d i think i cant check but thats what it said,report it to someone that can help,i say thats true but can you pls not do it in this server,i will check the thing i forgot what it is called if i see it in there then i will ban them for a day if they do it again i will ban the for 3d if they keep doing it then its 5d,no but i hope that is not bad,i can help a lot make sure no one griefs and help people that need help then i will ban people that griefs.,idk maybe mod or something else,Monday;Wednesday;Saturday,1 - 2 hours,,Yes,,,,,
2024/10/03 6:53:21 am GMT+8,Creeper_diamonds,Creeperdiamonds#1234,GMT+3,Israel,13-15,Male,he/him,Yes,Helper,I will say: dude stop wear it's not cool,Ban him(if I allowed) call to staff,Yr,"Yes I can help you with ban griefer and cheater help building and a lot more 
I'm very very very help",A helper with search for player that I can help,Tuesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,5 - 6 hours,,Yes,,,,,
2024/09/08 12:45:06 am GMT+8,frederikd8,tester.__.,GMT+2,Denmark,13-15,Male,he/him,1 day maby more idk,report to a higher-ranked staff or to you,mute him for we dont swear on the server if whant to swear go on your world,say i kown you dit it i sa you griefing sorry for bad text im not the best,i have made my own server it was active but not more,i am a good staff and a have experience on som servers and i kown commands prety good i have play on the server over 24 hours,i dont kown any positions,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,i like to script but i am not the best,Maybe,,,,,
2024/08/30 10:16:59 am GMT+8,ImInjecting,cheatinge,CEST+2,spain/barcelona,13-15,Male,he/him,8:47h,i would contact the server owner and tell him all whats happening providing him proof.,"mute him for 1 week, and depends on the words 1 month.",ask everyone in the server for proof. and if they are real i would ban him for a month: 1 week for griefing and 2 weeks for lying,"yes, in vanta.","Because i think i would be a good moderator and helping the people in the server, and when someone would ask me for help. i will always help him.",maybe sr mod?,Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,3 - 4 hours,,Maybe,,,,,
2024/10/18 1:32:44 pm GMT+8,infection_guy,thatscrazyguy,GMT+2,Nederlands ,16-17,Male,he/him,1 day and 4 hours,I will report them ro the server owner/owners,"Say ""that is right but on this server we would not like people swearing because there are poeple under the 18:",Rollback and watch my replay mod,I have acquired the rank of staff in alot of personal and public servers,"Because I have a fun way to talk to every player and know how all cmds work, I am a good listener and I learned the rules out of my head",As a high ranking staff member of your team,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,I have adhd And autism I am not saying it to get a better chance of being accepted I just wanted to let you all know I can by hyper focused or quickly lose focus.,Yes,,,,,
2024/10/28 12:45:27 am GMT+8,GreedyAllay,greedyallay,GMT+1,Nederlands ,17 - 18,Male,he/him,uhhhh shorter than that.... but i will play more if thats okay,Contact staff on discord that has a higher rank than that person,"Tell them they are allowed to say anything they like to, but you are not allowed to hurt people.",I will secretly check on this person to see if they keep doing this.,,"Because I play minecraft way too much and I am really kind and like to help people. If someone breaks the rules, I will give them an appropriate punishment, e.g. when cursing telling them to stop and if they keep going muting them.",Someone that is keeping the server clean and organised.,Saturday;Sunday,1 - 2 hours,,Yes,-,,,,
2024/09/10 8:08:30 am GMT+8,landoped,star_rooots,UTC7 i think,United States,13-15,Male,he/him,it reset so now it has 1 hour and 30 mins when i know i have atleast 2 days,i woud tell higher rank and egono who it is and what they are doing. i would also send proof,i would warn and if they do it again i would mute.,check who broke the logs because i think you can check what players placed and broke blocks. then i would ban for 7 days,in a discord server but not mc. im currently a community manager,i think im turstworthy and i can do a good job moderating. i have some experience and punish people for bad things they may have done. also i am og,maybe 1 rank higher.,Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,sometimes i might be busy doing schoolwork,Maybe,,,,,
2024/10/19 3:17:25 am GMT+8,Diffenfyy,Diffenyy / Diffenyy#8537,GMT +1,England,16-17,Male,he/him,"I'd say all together spread on all accounts, around 2 months give or take. (help me)",I'd take screenshots as proof and I'd report it to another higher-ranked staff.,"I would reinform them of our rules and how they are not to send that kind of language in this server, if they continue to do so. I'd mute them for a period of time I see best fit.",I would inform them that we have plugins that prove their claim wrong. I'd then ban for 7 days.,I have around a year of experience in a really great server... it's called 50x! Not sure if you have heard of it. My position for a bit was manager.,I have great experience with handling and loving countless communities and I never touch grass! Seriously... MY PLAY TIME WAS NEARLY 2 MONTHS,"Uh, hopefully somewhere like an admin.",Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,7 - 8 hours,"I am reapplying for this role after countless hours of reconsideration, seriously... I really do have a good connection to 50x and I really do want to become closer to the community again.",Yes,,,,,
2024/10/17 11:22:32 pm GMT+8,_FunnyGuy_,milkfrom2011isstillsafetoconsume,EST (UTC-5),United States,13-15,Male,he/him,1 Days 4.6 Hours,Report to someone who is higher ranked than an Admin.,"50x is a private server, and is not linked to the government in any way. Sure, if the police arrests you for swearing, it is unconstitutional, but private companies have the authority to ban you from their establishments. So, bypassing the chat filter is still punishable.","Use /co inspect to verify, then punish the griefer with the according punishment.",,"I use 50x a lot, and build on it and collaborate with other people on projects. I truly believe 50x is a great server, and would hate to see it in the condition it used to be in back when most staff and players were on Builder's Den and griefing without punishment was a regular thing.",Probably the same position.,Monday;Tuesday;Wednesday;Thursday;Saturday;Sunday,1 - 2 hours,"For joining, I am usually free six days a week, for as long as I feel like playing. Even when I am not on the server, I am usually playing another game or another server, and discord is always open and set to online, so I can be pinged. Certain times, like the month of Ramadan, and when my family comes to visit, I am rarely on, but other than that, I am a mostly active user.",Maybe,,,,,